Parameter        Weight
Foil Thickness        0.1665824943278305
Foil Camber        0.16470533721475245
Foil Camber Position        0.16660067323771963
Taper Ratio        0.1592249337291385
Semi Span        0.01739939961606705
Sweep Angle        0.1600059758968312
Root Chord        0.16548118597766082
