Parameter        Weight
Foil Thickness        0.3365490949897856
Foil Camber        0.45566091713188167
Foil Camber Position        0.20778998787833283
Taper Ratio        0.0
Semi Span        0.0
Sweep Angle        0.0
Root Chord        0.0
