Parameter        Weight
Foil Thickness        0.16666665878222722
Foil Camber        0.1666227716351953
Foil Camber Position        0.16488416680694193
Taper Ratio        0.16666249320854856
Semi Span        0.16490622406498656
Sweep Angle        0.16666072774044924
Root Chord        0.003596957761651217
