Parameter        Weight
Foil Thickness        0.33397333909445365
Foil Camber        0.33460824873930123
Foil Camber Position        0.334781796443447
Taper Ratio        0.0
Semi Span        -0.003363384277201916
Sweep Angle        0.0
Root Chord        0.0
