Parameter        Weight
Foil Thickness        0.16563102984239456
Foil Camber        0.11699033663317036
Foil Camber Position        0.16552959194529995
Taper Ratio        0.1663905879264247
Semi Span        0.13926525541838314
Sweep Angle        0.07999711245306441
Root Chord        0.16619608578126285
