Parameter        Weight
Foil Thickness        0.16666485937679823
Foil Camber        0.16656799366156103
Foil Camber Position        0.16512215942786154
Taper Ratio        0.1665980128305948
Semi Span        0.16649719501439378
Sweep Angle        0.1666634845408639
Root Chord        0.0018862951479267087
