Semi_Span: 0.15
VELOCITY        HEIGHT          MACH    
110.402        15250.157768        0.619
10.0        17897.754602        0.671
261.005        20757.159184        0.724
60.20101        23828.371512        0.777
110.402        27111.391587        0.83
160.603        30606.219409        0.884
160.603        34312.854977        0.937
60.20101        38231.298292        0.991
60.20101        42361.549354        1.046
311.206        46703.608163        1.101
110.402        51257.474719        1.156
110.402        56023.149021        1.211
261.005        61000.63107        1.267
261.005        66189.920866        1.324
411.608        71591.018409        1.38
411.608        77203.923698        1.438
411.608        83028.636735        1.495
411.608        89065.157518        1.554
411.608        95313.486047        1.613
411.608        101773.622324        1.672
411.608        108445.566347        1.732
562.2111        115329.318117        1.792
562.2111        122424.877634        1.853
562.2111        129732.244898        1.915
562.2111        137251.419908        1.978
562.2111        144982.402666        2.041
562.2111        152925.19317        2.105
562.2111        161079.79142        2.169
562.2111        169446.197418        2.234
662.6131        178024.411162        2.3
662.6131        186814.432653        2.367
662.6131        195816.261891        2.435
662.6131        205029.898875        2.504
662.6131        214455.343607        2.573
662.6131        224092.596085        2.643
662.6131        233941.65631        2.715
863.4171        244002.524282        2.787
863.4171        254275.2        2.86
