Semi_Span: 0.15
VELOCITY        HEIGHT          MACH    
60.20101        9365.712397        0.483
60.20101        10377.520661        0.509
110.402        11441.216529        0.535
60.20101        12556.8        0.561
160.603        13724.271074        0.587
60.20101        14943.629752        0.612
60.20101        16214.876033        0.638
311.206        17538.009917        0.664
60.20101        18913.031405        0.69
60.20101        20339.940496        0.717
60.20101        21818.73719        0.743
160.603        23349.421488        0.769
160.603        24931.993388        0.795
210.804        26566.452893        0.822
261.005        28252.8        0.848
311.206        29991.034711        0.874
361.407        31781.157025        0.901
461.809        33623.166942        0.928
512.0101        35517.064463        0.954
662.6131        37462.849587        0.981
763.0151        39460.522314        1.008
1014.02        41510.082645        1.035
1265.025        43611.530579        1.062
1415.628        45764.866116        1.089
1967.839        47970.089256        1.116
2469.849        50227.2        1.144
2469.849        52536.198347        1.171
3323.266        54897.084298        1.198
4779.095        57309.857851        1.226
7038.141        59774.519008        1.254
7038.141        62291.067769        1.281
7038.141        64859.504132        1.309
10.0        67479.828099        1.337
10.0        70152.039669        1.365
10.0        72876.138843        1.394
10.0        75652.12562        1.422
10.0        78480.0        1.451
10.0        81359.761983        1.479
10.0        84291.41157        1.508
10.0        87274.94876        1.537
10.0        90310.373554        1.566
10.0        93397.68595        1.595
10.0        96536.88595        1.624
10.0        99727.973554        1.653
10.0        102970.94876        1.683
10.0        106265.81157        1.712
10.0        109612.561983        1.742
10.0        113011.2        1.772
10.0        116461.72562        1.802
10.0        119964.138843        1.832
10.0        123518.439669        1.863
10.0        127124.628099        1.893
10.0        130782.704132        1.924
10.0        134492.667769        1.955
10.0        138254.519008        1.986
10.0        142068.257851        2.017
10.0        145933.884298        2.048
10.0        149851.398347        2.08
10.0        153820.8        2.112
10.0        157842.089256        2.144
10.0        161915.266116        2.176
10.0        166040.330579        2.208
10.0        170217.282645        2.24
160.603        174446.122314        2.273
160.603        178726.849587        2.306
160.603        183059.464463        2.339
160.603        187443.966942        2.372
160.603        191880.357025        2.406
160.603        196368.634711        2.439
160.603        200908.8        2.473
160.603        205500.852893        2.507
160.603        210144.793388        2.541
160.603        214840.621488        2.576
160.603        219588.33719        2.611
160.603        224387.940496        2.646
160.603        229239.431405        2.681
160.603        234142.809917        2.716
10.0        239098.076033        2.752
10.0        244105.229752        2.788
10.0        249164.271074        2.824
10.0        254275.2        2.86
